Group,Average Spread Size,Median Spread Size,Standard Deviation,Minimum Spread Size,Maximum Spread Size,Node ID,HCC
Bridge Nodes,138.1573333,140,19.62192429,1,184,0,Not HCC
High-Degree Nodes Not in HCC,138.444,140,17.88493399,1,177,0,Not HCC
Random Nodes,67.453,7.5,69.47855634,1,183,0,Not HCC
Bridge Nodes,855.8783,857,14.65449,776,903,107,HCC
Random Nodes,717.9065,854,314.6101,1,901,107,HCC
Bridge Nodes,159.5509,160,7.289213,1,179,384,HCC
Random Nodes,114.9861,156,71.47508,1,180,384,HCC
Bridge Nodes,90.83313,92,16.17418,1,130,414,HCC
Random Nodes,63.45688,88,42.23916,1,125,414,HCC
Bridge Nodes,102.9647,104,13.07426,1,134,686,HCC
Random Nodes,56.18,94,51.89574,1,134,686,HCC
Bridge Nodes,10.92286,11,7.618946,1,29,698,HCC
Random Nodes,6.581429,3,7.164033,1,31,698,HCC
Bridge Nodes,598.6424,600,23.91998,190,646,1684,Not HCC
High-Degree Nodes Not in HCC,601.49,601,12.47437,575,635,1684,Not HCC
Random Nodes,456.7753,595,255.3474,1,647,1684,Not HCC
Bridge Nodes,650.6364,651,9.422706,608,683,1912,HCC
Random Nodes,579.3647,650,203.3291,1,683,1912,HCC
Bridge Nodes,275.5454,290,56.54859,1,362,3437,Not HCC
High-Degree Nodes Not in HCC,276.8676,290,53.07119,1,349,3437,Not HCC
Random Nodes,127.5888,6,141.8622,1,356,3437,Not HCC
Bridge Nodes,4.79625,3,4.1632,1,20,3980,Not HCC
High-Degree Nodes Not in HCC,3.39,2,3.36718,1,16,3980,Not HCC
Random Nodes,2.9825,1,3.413165,1,23,3980,Not HCC
